Landlord,Corporation,Number of Units,Number of HPD Violations,Number of DOB Violations,Tax Lien in Past Two Years,Number of Evictions,building
LAZER KVIAT,MARQUIS REALTY,53,132,31,No,3,"1210 STRATFORD AVENUE, BRONX 10472"
ALEX KOHN,SILVERSHORE PROPERTIES 126 LLC,6,85,2,No,0,"203 HULL STREET, BROOKLYN 11233"
ALEX KOHN,5416-5422 4TH AVENUE LLC,21,79,0,No,0,"5422 4 AVENUE, BROOKLYN 11220"
ALEX KOHN,SILVERSHORE PROPERTIES 113 LLC,8,44,0,No,0,"623 HALSEY STREET, BROOKLYN 11233"
ALEX KOHN,BED SKY 1 LLC,6,43,0,No,0,"321 MENAHAN STREET, BROOKLYN 11237"
ALEX KOHN,SILVERSHORE PROPERTIES 32 LLC,8,42,1,No,1,"165 HOWARD AVENUE, BROOKLYN 11233"
ALEX KOHN,SILVERSHORE PROPERTIES 99 LLC,6,35,27,No,0,"166 BLEECKER STREET, BROOKLYN 11221"
RICHARD LAGANA,"LIBERTY VENTURES, LLC",24,96,5,No,0,"331 EAST 14 STREET, MANHATTAN 10003"
RICHARD LAGANA,"CLINTON ASSOCIATES, LLC",17,87,3,No,0,"440 WEST 45 STREET, MANHATTAN 10036"
RICHARD LAGANA,"HIGHPOINT ASSOCIATES XII, LLC",15,72,11,No,0,"410 WEST 46 STREET, MANHATTAN 10036"
RICHARD LAGANA,"HIGHPOINT ASSOCIATES XII, LLC",15,72,1,No,0,"412 WEST 46 STREET, MANHATTAN 10036"
KRISHNA GARIB,1432 PACIFIC LLC,8,276,0,No,0,"1436 PACIFIC STREET, BROOKLYN 11216"
KRISHNA GARIB,1432 PACIFIC LLC,10,50,7,No,0,"1432 PACIFIC STREET, BROOKLYN 11216"
RAMIN SHALOM,48TH STREET HOLDINGS LLC,30,160,5,No,1,"444 WEST 48 STREET, MANHATTAN 10036"
RAMIN SHALOM,"FIFTY THIRD GROUP ASSOCIATES, LLC",16,130,1,No,1,"226 EAST 53 STREET, MANHATTAN 10022"
RAMIN SHALOM,"EMERALD REALTY PARTNERS, LLC",8,34,0,No,0,"213 EAST 31 STREET, MANHATTAN 10016"
MARIE SGOUROS,ESSEN REALTY ENTERPRISES,61,169,3,No,0,"35-30 153 STREET, QUEENS 11354"
MARIE SGOUROS,ESSEN REALTY ENTERPRISES,49,148,4,No,0,"35-28 153 STREET, QUEENS 11354"
CHAIM GOLDBERGER,H&F REALTY LLC,8,91,0,No,0,"1353 PACIFIC STREET, BROOKLYN 11216"
CHAIM GOLDBERGER,239 TROY AVE LLC,10,75,11,No,0,"239 TROY AVENUE, BROOKLYN 11213"
CHAIM GOLDBERGER,732 GREENE AVE LLC,6,66,1,No,0,"237 MARCUS GARVEY BOULEVARD, BROOKLYN 11221"
CHAIM GOLDBERGER,LAFAYETTE RESIDENCE LLC,8,57,0,No,0,"556 LAFAYETTE AVENUE, BROOKLYN 11205"
CHAIM GOLDBERGER,JJY NY REALTY INC,6,28,2,Yes,0,"1054 WILLOUGHBY AVENUE, BROOKLYN 11221"
BRIAN HODGE,,6,316,2,No,0,"827 HALSEY STREET, BROOKLYN 11233"
MARIA NOTIAS,None,20,117,0,No,0,"6823 RIDGE BOULEVARD, BROOKLYN 11220"
MARIA NOTIAS,364-368 REALTY LLC,16,84,0,No,0,"364 87 STREET, BROOKLYN 11209"
MARIA NOTIAS,364-368 REALTY LLC,16,61,0,No,0,"368 87 STREET, BROOKLYN 11209"
MARIA NOTIAS,None,9,48,0,Yes,1,"586 74 STREET, BROOKLYN 11209"
RONALDO KIEL,501 WEST 143RD STREET H.D.F.C.,39,308,8,No,1,"501 WEST 143 STREET, MANHATTAN 10031"
FRANK DOBBS,CARITAS DEVELOPMENT LLC,12,203,0,No,0,"150 EAST 110 STREET, MANHATTAN 10029"
FRANK DOBBS,CARITAS DEVELOPMENT LLC,8,104,0,No,0,"152 EAST 110 STREET, MANHATTAN 10029"
JASON GREEN,2110 ARTHUR ASSETS LLC,27,195,1,No,7,"2110 ARTHUR AVENUE, BRONX 10457"
JASON GREEN,33 VERMILYEA LLC,26,75,0,No,0,"35 VERMILYEA AVENUE, MANHATTAN 10034"
JASON GREEN,510 MORGAN LLC,8,33,6,No,0,"510 MORGAN AVENUE, BROOKLYN 11222"
ARI FRIEDMAN,"289 BONNER PLACE,LLC",9,111,1,No,1,"289 BONNER PLACE, BRONX 10456"
ARI FRIEDMAN,"SOUTH BRONX PROPERTIES, LLC",11,83,0,No,1,"454 EAST 134 STREET, BRONX 10454"
ARI FRIEDMAN,"910-918 GERARD AVENUE PARTNERS, LLC",6,70,2,Yes,0,"910 GERARD AVENUE, BRONX 10452"
ARI FRIEDMAN,"928 GERARD AVE PARTNERS, LLC",7,39,2,No,0,"928 GERARD AVENUE, BRONX 10452"
ZAHAVA KADOSH,272 SHERMAN LLC,60,303,1,No,0,"272 SHERMAN AVENUE, MANHATTAN 10034"
JESSICA LEE,461 BERRIMAN REALTY LLC,9,45,0,No,0,"461 BERRIMAN STREET, BROOKLYN 11208"
JESSICA LEE,BERGROSEN LLC,7,43,0,No,2,"129 TAPSCOTT STREET, BROOKLYN 11212"
JESSICA LEE,1449 BUSHWICK HOLDINGS LLC,6,43,3,No,0,"1449 BUSHWICK AVENUE, BROOKLYN 11207"
JESSICA LEE,63 STUYVESANT LLC,6,40,1,No,0,"63 STUYVESANT AVENUE, BROOKLYN 11221"
JESSICA LEE,IR COOPER LLC,6,33,0,No,0,"276 COOPER STREET, BROOKLYN 11237"
JESSICA LEE,BK WEST 36TH STREET HOLDINGS LLC,6,30,0,No,0,"2832 WEST 36 STREET, BROOKLYN 11224"
JESSICA LEE,BK WEST 36TH STREET HOLDINGS LLC,6,27,0,No,0,"2844 WEST 36 STREET, BROOKLYN 11224"
JESSICA LEE,BK WEST 36TH STREET HOLDINGS LLC,6,20,0,No,1,"2850 WEST 36 STREET, BROOKLYN 11224"
JESSICA LEE,TEMO REALTY LLC,6,17,1,No,0,"65 COOPER STREET, BROOKLYN 11207"
CHAIM LANDAU,"201 EAST 18TH STREET CO, LLC",42,160,12,No,2,"201 EAST 18 STREET, BROOKLYN 11226"
CHAIM LANDAU,8201 4TH AVE LLC,54,135,3,No,0,"8201 4 AVENUE, BROOKLYN 11209"
ISAAC AZOULAY,EMA REALTY LLC,13,134,1,No,0,"645 MAC DONOUGH STREET, BROOKLYN 11233"
ISAAC AZOULAY,IDBSM HOLDING GROUP LLC,15,90,1,No,0,"388 CRESCENT STREET, BROOKLYN 11208"
ISAAC AZOULAY,ITABA LLC,6,38,2,No,7,"108-01 91 AVENUE, QUEENS 11418"
ISAAC AZOULAY,FORTUNA 104 STREET,8,33,0,No,0,"97-51 104 STREET, QUEENS 11416"
ARON KAPELUSCHNIK,SILVERSHORE PROPERTIES 35 LLC,8,75,4,No,0,"278 DEAN STREET, BROOKLYN 11217"
ARON KAPELUSCHNIK,SILVERSHORE PROPERTIES 117 LLC,7,69,1,No,0,"251 NASSAU AVENUE, BROOKLYN 11222"
ARON KAPELUSCHNIK,5416-5422 4TH AVENUE LLC,16,50,1,No,1,"5416 4 AVENUE, BROOKLYN 11220"
ARON KAPELUSCHNIK,SILVERSHORE PROPERTIES 54 LLC,8,40,0,No,0,"167 WAVERLY AVENUE, BROOKLYN 11205"
ARON KAPELUSCHNIK,SILVERSHORE PROPERTIES 94 LLC,7,36,1,Yes,0,"318 HUMBOLDT STREET, BROOKLYN 11211"
ARON KAPELUSCHNIK,SILVERSHOREPROPERTIES 56 LLC,6,20,0,No,0,"77 ATLANTIC AVENUE, BROOKLYN 11201"
DEBORAH JOHNSON,BUFNY II ASSOCIATES,20,171,0,No,1,"124 WEST 137 STREET, MANHATTAN 10030"
DEBORAH JOHNSON,BUFNY II ASSOCIATES,10,47,0,No,0,"110 WEST 137 STREET, MANHATTAN 10030"
DEBORAH JOHNSON,BUFNY II ASSOCIATES,10,41,0,No,0,"531 LENOX AVENUE, MANHATTAN 10037"
DEBORAH JOHNSON,BUFNY II ASSOCIATES,6,29,0,No,0,"102 WEST 137 STREET, MANHATTAN 10030"
MELVIN NEWHOUSE,WILLMOHR REALTY (87)ASSOC INC,39,285,0,No,4,"1092 WILLMOHR STREET, BROOKLYN 11212"
CONSTANTINA KATECHIS,"KALABRITA, LLC",22,153,0,No,1,"605 WEST 182 STREET, MANHATTAN 10033"
CONSTANTINA KATECHIS,None,20,132,0,No,0,"561 WEST 169 STREET, MANHATTAN 10032"
URSULA NIARAKIS,WILCO HOLDING INC,70,283,5,No,1,"39-06 114 STREET, QUEENS 11368"
JOHN MILLIEN,"WORLD WIDE EQUITY SERVICE HOLDINGS, INC",6,283,6,No,0,"719 MILLER AVENUE, BROOKLYN 11207"
SARAH RUSSELL,"ZACK MAXIE, LLC",8,75,10,No,0,"316 6 STREET, BROOKLYN 11215"
SARAH RUSSELL,"ZACK MAXIE, LLC",8,53,9,No,0,"431 BLEECKER STREET, BROOKLYN 11237"
SARAH RUSSELL,"ZACKMAXIE, LLC",14,48,9,No,0,"108 CENTRAL AVENUE, BROOKLYN 11206"
SARAH RUSSELL,"676 GRAND ST, LLC",6,41,0,No,0,"678 GRAND STREET, BROOKLYN 11211"
SARAH RUSSELL,"676 GRAND ST, LLC",6,37,0,No,0,"552 GRAND STREET, BROOKLYN 11211"
SARAH RUSSELL,"D&G REAL ESTATE HOLDINGS, LLC",6,29,0,No,0,"41 ST NICHOLAS AVENUE, BROOKLYN 11237"
KATHERINE CHOU,213 OPERATING LLC,20,118,0,No,0,"18 KING STREET, MANHATTAN 10014"
KATHERINE CHOU,"CHOU'S 3 D, LLC",10,75,13,No,0,"354 EAST 78 STREET, MANHATTAN 10075"
KATHERINE CHOU,None,8,59,0,No,0,"1489 1 AVENUE, MANHATTAN 10075"
KATHERINE CHOU,CHOU'S 3D LLC,7,31,2,No,0,"356 EAST 78 STREET, MANHATTAN 10075"
ERVIN JOHNSON,401 MACON REALTY LLC,16,283,12,Yes,4,"401 MACON STREET, BROOKLYN 11233"
ROBERT KASZOVITZ,1170 GERARD REALTY LLC,54,148,4,No,0,"1170 GERARD AVENUE, BRONX 10452"
ROBERT KASZOVITZ,1165 GERARD REALTY LLC,43,133,0,No,2,"1165 GERARD AVENUE, BRONX 10452"
CHUNG LEE,419 E 142ND ST LLC,12,193,8,No,2,"419 EAST 142 STREET, BRONX 10454"
CHUNG LEE,479 W. 146TH ST LLC,13,87,0,No,0,"1739 AMSTERDAM AVENUE, MANHATTAN 10031"
JUD BENJAMIN,FC 2501 LLC,55,182,14,No,0,"2501 NEWKIRK AVENUE, BROOKLYN 11226"
JUD BENJAMIN,FC 531 LLC,35,97,6,No,0,"531 EAST 22 STREET, BROOKLYN 11226"
MARY EPPS,None,11,277,1,No,0,"1966 DR M L KING JR BOULEVARD, BRONX 10453"
DAVID ESHAGHOFF,ROYAL OAKS LLC,48,118,0,No,0,"87-16 WINCHESTER BOULEVARD, QUEENS 11427"
DAVID ESHAGHOFF,WEST 177 HOLDING LLC,22,80,0,No,1,"579 WEST 177 STREET, MANHATTAN 10033"
DAVID ESHAGHOFF,WEST 177 HOLDING LLC,22,78,0,No,1,"583 WEST 177 STREET, MANHATTAN 10033"
LARRY TAUBER,"CHELSEA PARTNERS, LLC",8,87,0,No,0,"244 WEST 21 STREET, MANHATTAN 10011"
LARRY TAUBER,851 WEST END CO LLC,18,74,14,No,0,"851 WEST END AVENUE, MANHATTAN 10025"
LARRY TAUBER,WEST SIDE PARTNERS LLC,15,73,0,No,0,"148 WEST 76 STREET, MANHATTAN 10023"
LARRY TAUBER,"WEST SIDE PARTNERS, LLC",10,42,0,No,0,"45 WEST 69 STREET, MANHATTAN 10023"
MARIBEL MARTINEZ,2265 UNIVERSITY AVE OWNERS INC,43,139,3,No,0,"2265 DR M L KING JR BOULEVARD, BRONX 10468"
MARIBEL MARTINEZ,2830 BRIGGS AVE OWNERS,57,134,21,No,2,"2830 BRIGGS AVENUE, BRONX 10458"
MANNY STEIN,1229-1273 REALTY LLC,53,139,1,No,2,"1259 CLAY AVENUE, BRONX 10456"
MANNY STEIN,ST. JOHNS HOLDINGS 2015 LLC,8,71,4,No,1,"1362 ST JOHNS PLACE, BROOKLYN 11213"
MANNY STEIN,540 TBSG LLC,6,38,0,No,1,"444 RALPH AVENUE, BROOKLYN 11233"
MANNY STEIN,ST. JOHNS HOLDINGS 2015 LLC,8,25,6,No,1,"1366 ST JOHNS PLACE, BROOKLYN 11213"
THEODORE VALLAS,309 86 STREET REALTY LTD,42,185,0,No,0,"8517 3 AVENUE, BROOKLYN 11209"
THEODORE VALLAS,None,6,45,0,No,0,"538 82 STREET, BROOKLYN 11209"
THEODORE VALLAS,None,6,43,0,No,0,"557 82 STREET, BROOKLYN 11209"
ISAAC SCHWARTZ,880 GATE REALTY LLC,8,70,1,No,0,"880 GATES AVENUE, BROOKLYN 11221"
ISAAC SCHWARTZ,1801 REALTY ASSETS LLC,24,69,18,No,0,"1803 PITKIN AVENUE, BROOKLYN 11212"
ISAAC SCHWARTZ,NEW MONTAUK ASSETS LLC,11,42,0,No,0,"407 MONTAUK AVENUE, BROOKLYN 11208"
ISAAC SCHWARTZ,TEHAMA 36 REALTY,6,37,0,No,0,"1243 36 STREET, BROOKLYN 11218"
ISAAC SCHWARTZ,612 E 28 LLC,9,30,1,No,0,"2724 FARRAGUT ROAD, BROOKLYN 11210"
ISAAC SCHWARTZ,1526 REALTY LLC,8,23,16,No,1,"1526 PACIFIC STREET, BROOKLYN 11213"
MENDY LOWY,292 WEBSTER REALTY LLC,38,111,0,No,4,"312 WEBSTER AVENUE, BROOKLYN 11230"
MENDY LOWY,292 WEBSTER REALTY LLC,38,108,0,No,2,"294 WEBSTER AVENUE, BROOKLYN 11230"
MENDY LOWY,1327 40TH REALTY LLC,16,52,0,No,0,"1327 40 STREET, BROOKLYN 11218"
DOV SANDBERG,354 OCEAN AVE REALTY CO LLC,62,200,4,No,3,"354 OCEAN AVENUE, BROOKLYN 11226"
DOV SANDBERG,946 ST MARKS ASSOCIATES LLC,16,69,0,No,1,"946 ST MARKS AVENUE, BROOKLYN 11213"
J ROSENFELD,EAST 95 REALTY LLC,42,173,0,No,0,"1088 WINTHROP STREET, BROOKLYN 11212"
J ROSENFELD,735 OCEAN AVE LLC,36,94,5,No,0,"735 OCEAN AVENUE, BROOKLYN 11226"
JUAN LARA,ACQUISITION AMERICA VII.LLC,91,265,17,No,0,"515 CATHEDRAL PARKWAY, MANHATTAN 10025"
JONATHAN DINGLE,1121 WASHINGTON AVE,9,264,2,No,0,"1211 WASHINGTON AVENUE, BRONX 10456"
SONYA BLANAROVICH,None,16,124,2,No,0,"202 EAST 6 STREET, MANHATTAN 10003"
SONYA BLANAROVICH,314-316 EAST 11TH ST LP,10,85,0,No,0,"314 EAST 11 STREET, MANHATTAN 10003"
SONYA BLANAROVICH,100 EAST 7TH ST LP,15,54,0,No,0,"100 EAST 7 STREET, MANHATTAN 10009"
GIOVANNI DIMAGGIO,1836,24,148,3,No,0,"1836 EAST 18 STREET, BROOKLYN 11229"
GIOVANNI DIMAGGIO,1860 LLC,38,114,1,No,0,"1860 EAST 12 STREET, BROOKLYN 11229"
CHARLES NICHOLAS,CONODOMINIUM ASSOCIATION,8,177,1,Yes,0,"392 3 STREET, BROOKLYN 11215"
CHARLES NICHOLAS,205 WEST 107TH STREET LLC,14,84,10,No,0,"205 WEST 107 STREET, MANHATTAN 10025"
MURIEL CLARK,None,6,261,3,Yes,0,"1015 PACIFIC STREET, BROOKLYN 11238"
HAZEL GAYLE,L M + L REALITY INC,27,130,2,Yes,0,"227 SULLIVAN PLACE, BROOKLYN 11225"
HAZEL GAYLE,None,10,54,3,No,0,"28 HAWTHORNE STREET, BROOKLYN 11225"
HAZEL GAYLE,None,8,49,2,No,0,"11 HALSEY STREET, BROOKLYN 11216"
HAZEL GAYLE,None,7,27,2,No,0,"1077 BERGEN STREET, BROOKLYN 11216"
JACK ATIAS,FELITIA 436 CONVENT LTD,47,201,2,No,0,"450 WEST 149 STREET, MANHATTAN 10031"
JACK ATIAS,FELITIA TANNING (1ST AVE) LTD,16,58,0,No,0,"41 1 AVENUE, MANHATTAN 10003"
HARRY GREENBAUM,341 EAST 6TH STREET REALTY LLC,20,149,3,Yes,0,"341 EAST 6 STREET, MANHATTAN 10003"
HARRY GREENBAUM,513 E 13TH ST REALTY,28,110,9,No,1,"513 EAST 13 STREET, MANHATTAN 10009"
CHRISTOPHER MARENGO,SINCKLER INC,22,259,3,No,1,"4459 MATILDA AVENUE, BRONX 10470"
GEORGE HUANG,"L.C.S. ENTERPRISES, INC",47,134,6,No,0,"725 WEST 172 STREET, MANHATTAN 10032"
GEORGE HUANG,275 FT WASHINGTON ASSOCIATES LLC,37,124,4,No,0,"273 FT WASHINGTON AVENUE, MANHATTAN 10032"
DAVID RAKOWER,"879 MAGENTA REALTY, LLC",37,153,0,No,0,"681 MAGENTA STREET, BRONX 10467"
DAVID RAKOWER,"679 MAGENTA REALTY, LLC",37,105,23,No,11,"679 MAGENTA STREET, BRONX 10467"
MARTIN SCHWARF,490 REALTY LLC,59,258,3,No,0,"2553 AMSTERDAM AVENUE, MANHATTAN 10033"
ASTLEY GROVES,None,12,258,4,No,0,"162 WEST 132 STREET, MANHATTAN 10027"
