Community District,Name,Indicator Category,Indicator,Indicator Description,Y2000,Y2006,Y2010,Y2016,Y2017,Y2000.Rank,Y2006.Rank,Y2010.Rank,Y16.17.Rank
BK 17,East Flatbush,Demographics,Median household income ($2017),The median household's total income of all members of the household aged 15 years or older.,"$51,497","$50,496","$48,305","$52,259",NA,30,32,31,33
BK 17,East Flatbush,Demographics,"Median household income, homeowners ($2017)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,NA,"$75,532","$77,694","$74,191",NA,NA,35,37,44
BK 17,East Flatbush,Demographics,"Median household income, renters ($2017)",The median renter household's total income of all members of the household aged 15 years or older.,NA,"$40,211","$37,313","$42,560",NA,NA,32,34,33
BK 17,East Flatbush,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,1.0%,0.3%,0.8%,1.3%,NA,49,54,51,51
BK 17,East Flatbush,Demographics,Percent black,The percentage of the total population that identifies as black (non-Hispanic).,88.7%,89.5%,89.2%,86.5%,NA,1,1,1,1
BK 17,East Flatbush,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,5.4%,6.5%,7.5%,7.5%,NA,55,51,51,53
BK 17,East Flatbush,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,1.5%,1.0%,1.1%,2.7%,NA,51,52,52,51
BK 17,East Flatbush,Demographics,Population,"All people, both children and adults, living in a given geographic area.","145,263","147,390","140,285","145,860",NA,NA,NA,NA,NA
BK 17,East Flatbush,Demographics,Population aged 25+ with a bachelor's degree or higher,The percentage of the population aged 25 and older who have attained a bachelor's degree or higher.,15.1%,18.6%,17.6%,27.1%,NA,40,43,46,38
BK 17,East Flatbush,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,NA,17.9%,15.1%,13.3%,NA,NA,34,39,40
BK 17,East Flatbush,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.1%,11.2%,11.7%,14.5%,NA,42,29,26,19
BK 17,East Flatbush,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.4%,19.1%,15.4%,14.9%,NA,27,24,35,35
BK 17,East Flatbush,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,18.8%,17.9%,14.9%,NA,NA,27,24,36
BK 17,East Flatbush,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,29.0%,20.6%,20.4%,NA,NA,21,36,32
BK 17,East Flatbush,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.21,0.19,0.20,0.25,NA,54,55,54,55
BK 17,East Flatbush,Demographics,Single-person households,The share of households that include only one person.,NA,26.0%,26.5%,29.4%,NA,NA,40,35,29
BK 17,East Flatbush,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",12.49%,8.35%,12.77%,7.18%,NA,18,21,21,25
BK 17,East Flatbush,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",NA,0.7%,73.1%,47.1%,NA,NA,14,6,8
BK 17,East Flatbush,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",NA,54.8%,1.6%,10.3%,NA,NA,4,10,5
BK 17,East Flatbush,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",NA,41.0%,8.8%,2.1%,NA,NA,12,5,16
BK 17,East Flatbush,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",NA,48.2,11.7,15.5,NA,NA,31,51,45
BK 17,East Flatbush,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",NA,48.7%,52.2%,55.8%,NA,NA,24,19,17
BK 17,East Flatbush,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",NA,2.8%,9.4%,5.0%,NA,NA,35,29,36
BK 17,East Flatbush,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,32.1%,38.2%,36.0%,31.5%,NA,20,20,19,27
BK 17,East Flatbush,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",NA,"51,871","52,526","55,389",NA,NA,30,34,32
BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,229.6,156.7,202.0,257.0,1,14,35,28
BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,223.2,162.3,179.9,209.2,1,28,27,45
BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,188.7,172.1,372.5,466.5,1,50,47,32
BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,223.2,160.8,202.0,237.5,1,25,43,45
BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,288.6,246.9,352.9,342.5,1,10,13,20
BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, 1 family building ($2017)",The median price per unit for one unit buildings.,"$269,859","$497,613","$366,022","$476,150","$500,209",42,44,41,37
BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, 2-4 family building ($2017)",The median price per unit for two- to four-unit buildings.,"$139,499","$274,463","$194,082","$239,788","$255,581",45,48,43,43
BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, 5+ family building ($2017)",The median price per unit for multifamily buildings.,"$54,717","$95,717","$77,450","$171,810","$180,325",40,50,47,40
BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, condominium ($2017)",The median price per unit for condominiums.,"$184,716","$352,722","$331,178","$467,500","$524,729",35,40,38,29
BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",16.2,22.9,33.4,30.9,26.6,19,13,11,6
BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,272,372,575,498,438,7,7,9,8
BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,190,277,342,228,173,7,8,11,8
BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,51,68,168,243,233,7,8,6,8
BK 17,East Flatbush,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",NA,NA,NA,91.8,NA,NA,NA,NA,4
BK 17,East Flatbush,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,NA,NA,NA,"15,287",NA,NA,NA,NA,23
BK 17,East Flatbush,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,45,3,14,13,16,8,20,18,12
BK 17,East Flatbush,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",NA,109.4,14.5,18.7,NA,NA,9,34,10
BK 17,East Flatbush,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",NA,NA,5.1%,3.7%,NA,NA,NA,12,20
BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,172,289,71,102,146,21,16,25,21
BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,313,602,183,177,256,20,14,24,17
BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,28,70,17,21,24,14,8,28,21
BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,516,971,292,312,437,25,24,42,32
BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,3,10,21,12,11,45,51,46,50
BK 17,East Flatbush,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",NA,103.8,123.6,98.0,106.6,NA,15,10,7
BK 17,East Flatbush,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,NA,NA,3.4%,3.4%,NA,NA,NA,24,32
BK 17,East Flatbush,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",NA,504.9,536.7,444.2,539.5,NA,17,9,5
BK 17,East Flatbush,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,NA,47.9,45.6,47.4,NA,NA,19,19,20
BK 17,East Flatbush,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,26,172,0,151,449,54,52,48,18
BK 17,East Flatbush,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,82,176,65,0,213,37,48,52,30
BK 17,East Flatbush,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",67.7%,72.2%,69.9%,71.0%,NA,29,27,34,30
BK 17,East Flatbush,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,50.1,45.6,46.6,45.9,NA,1,4,3,14
BK 17,East Flatbush,Neighborhood Services and Conditions,Residential units within 1/2 mile of a subway station,"The percentage of residential units that are within a half mile walk of a station entrance for the New York City Subway, Long Island Rail Road, PATH, Amtrak, Metro-North Railroad, or Staten Island Railway.",NA,NA,NA,NA,58.1%,NA,NA,NA,45
BK 17,East Flatbush,Neighborhood Services and Conditions,Residential units within 1/4 mile of a park,The percentage of residential units that are within a quarter mile of a park.,NA,NA,NA,NA,38.3%,NA,NA,NA,58
BK 17,East Flatbush,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",NA,14.5,13.2,12.0,11.5,NA,28,23,25
BK 17,East Flatbush,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",NA,9.0,7.6,5.7,5.7,NA,30,27,36
BK 17,East Flatbush,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",NA,5.5,5.6,6.3,5.7,NA,24,22,16
BK 17,East Flatbush,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,NA,NA,NA,36.3%,38.2%,NA,NA,NA,35
BK 17,East Flatbush,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,NA,NA,NA,24.5%,27.7%,NA,NA,NA,43
BK 17,East Flatbush,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,NA,NA,5.4%,4.7%,NA,NA,NA,28,27
BK 17,East Flatbush,Renters,"Median rent, 2- and 3-bedrooms ($2017)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",NA,NA,"$1,219","$1,349",NA,NA,NA,30,34
BK 17,East Flatbush,Renters,"Median rent, all ($2017)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,011","$1,117","$1,207","$1,338",NA,33,32,30,29
BK 17,East Flatbush,Renters,"Median rent, asking",The median rent that landlords advertise for housing units available for rent.,NA,NA,"$1,625","$1,675","$1,900",NA,NA,24,35
BK 17,East Flatbush,Renters,"Median rent, studios and 1-bedrooms ($2017)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",NA,NA,"$1,017","$1,086",NA,NA,NA,32,36
BK 17,East Flatbush,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,NA,27.4%,26.3%,22.2%,NA,NA,3,12,40
BK 17,East Flatbush,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,NA,NA,33.5%,31.1%,NA,NA,NA,9,13
BK 17,East Flatbush,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,NA,NA,6.6%,9.4%,NA,NA,NA,44,45
BK 17,East Flatbush,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,NA,NA,NA,NA,2.2%,NA,NA,NA,39
BK 17,East Flatbush,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",NA,NA,6.6%,5.2%,NA,NA,NA,28,31
BK 17,East Flatbush,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",NA,NA,85.9%,81.8%,NA,NA,NA,6,7
BK 17,East Flatbush,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",NA,NA,99.7%,100.0%,NA,NA,NA,5,1
BK 17,East Flatbush,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,26.1%,NA,30.7%,33.5%,NA,15,NA,17,16
BK 17,East Flatbush,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,NA,NA,42.1%,45.9%,NA,NA,NA,29,23
BK 17,East Flatbush,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,NA,NA,0.0%,0.4%,NA,NA,NA,36,30
BK 17,East Flatbush,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,NA,NA,NA,NA,6,NA,NA,NA,30
BK 17,East Flatbush,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),NA,NA,NA,NA,296,NA,NA,NA,35
BK 17,East Flatbush,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),NA,NA,NA,NA,19,NA,NA,NA,49
BK 17,East Flatbush,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),NA,NA,NA,NA,486,NA,NA,NA,53
BK 17,East Flatbush,Subsidized Housing,Eligible between 2018 and 2023 (properties),"Total number of properties eligible to expire between 2018 and 2023 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,4,NA,NA,NA,21
BK 17,East Flatbush,Subsidized Housing,Eligible between 2018 and 2023 (units),"Total number of units in properties eligible to expire between 2018 and 2023 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,181,NA,NA,NA,27
BK 17,East Flatbush,Subsidized Housing,Eligible between 2024 and 2033 (properties),"Total number of properties eligible to expire between 2024 and 2033 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,2,NA,NA,NA,39
BK 17,East Flatbush,Subsidized Housing,Eligible between 2024 and 2033 (units),"Total number of units in properties eligible to expire between 2024 and 2033 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,84,NA,NA,NA,46
BK 17,East Flatbush,Subsidized Housing,Eligible in 2034 and later (properties),"Total number of properties eligible to expire in 2034 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,3,NA,NA,NA,43
BK 17,East Flatbush,Subsidized Housing,Eligible in 2034 and later (units),"Total number of units in properties eligible to expire in 2034 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,106,NA,NA,NA,51
BK 17,East Flatbush,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,NA,NA,NA,NA,0,NA,NA,NA,46
BK 17,East Flatbush,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),NA,NA,NA,NA,0,NA,NA,NA,41
BK 17,East Flatbush,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,NA,NA,NA,NA,3,NA,NA,NA,34
BK 17,East Flatbush,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),NA,NA,NA,NA,165,NA,NA,NA,42
BK 17,East Flatbush,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,NA,NA,NA,NA,7,NA,NA,NA,34
BK 17,East Flatbush,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),NA,NA,NA,NA,277,NA,NA,NA,39
BK 17,East Flatbush,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,NA,NA,NA,NA,1,NA,NA,NA,35
BK 17,East Flatbush,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),NA,NA,NA,NA,438,NA,NA,NA,33
BK 17,East Flatbush,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",NA,NA,NA,NA,15,NA,NA,NA,31
BK 17,East Flatbush,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),NA,NA,NA,NA,4,NA,NA,NA,32
BK 17,East Flatbush,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),NA,NA,NA,NA,143,NA,NA,NA,41
BK 17,East Flatbush,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",NA,NA,NA,NA,36,NA,NA,NA,35
BK 18,Flatlands/Canarsie,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,NA,54.8%,53.3%,55.0%,NA,NA,18,17,11
BK 18,Flatlands/Canarsie,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",NA,NA,4.9%,6.4%,NA,NA,NA,50,38
BK 18,Flatlands/Canarsie,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,37.3%,39.2%,41.4%,39.5%,NA,22,24,22,25
BK 18,Flatlands/Canarsie,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,43.0%,40.6%,38.4%,36.1%,NA,14,16,19,19
BK 18,Flatlands/Canarsie,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",NA,3.5,4.0,4.6,NA,NA,53,50,43
BK 18,Flatlands/Canarsie,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",NA,61.4%,65.0%,64.0%,NA,NA,29,19,27
BK 18,Flatlands/Canarsie,Demographics,Median household income ($2017),The median household's total income of all members of the household aged 15 years or older.,"$73,567","$71,925","$65,578","$76,867",NA,11,12,13,12
BK 18,Flatlands/Canarsie,Demographics,"Median household income, homeowners ($2017)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,NA,"$90,466","$84,916","$93,357",NA,NA,18,25,20
BK 18,Flatlands/Canarsie,Demographics,"Median household income, renters ($2017)",The median renter household's total income of all members of the household aged 15 years or older.,NA,"$46,584","$47,966","$50,854",NA,NA,21,16,18
BK 18,Flatlands/Canarsie,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,3.7%,3.0%,3.7%,3.9%,NA,38,41,39,44
BK 18,Flatlands/Canarsie,Demographics,Percent black,The percentage of the total population that identifies as black (non-Hispanic).,51.0%,59.2%,61.7%,63.9%,NA,10,9,6,5
BK 18,Flatlands/Canarsie,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,8.1%,5.9%,8.2%,8.7%,NA,49,54,49,51
BK 18,Flatlands/Canarsie,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,34.4%,30.6%,24.9%,21.9%,NA,27,29,31,35
BK 18,Flatlands/Canarsie,Demographics,Population,"All people, both children and adults, living in a given geographic area.","194,836","204,600","202,929","208,091",NA,NA,NA,NA,NA
BK 18,Flatlands/Canarsie,Demographics,Population aged 25+ with a bachelor's degree or higher,The percentage of the population aged 25 and older who have attained a bachelor's degree or higher.,22.5%,27.9%,28.6%,32.3%,NA,24,23,27,29
BK 18,Flatlands/Canarsie,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,NA,13.2%,12.6%,11.2%,NA,NA,46,45,45
BK 18,Flatlands/Canarsie,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.2%,10.8%,11.1%,13.7%,NA,26,31,30,20
BK 18,Flatlands/Canarsie,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,12.2%,10.8%,11.4%,9.1%,NA,43,41,45,48
BK 18,Flatlands/Canarsie,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,13.3%,14.3%,9.0%,NA,NA,40,35,52
BK 18,Flatlands/Canarsie,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,14.1%,16.1%,11.4%,NA,NA,41,43,47
BK 18,Flatlands/Canarsie,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.61,0.55,0.55,0.53,NA,21,27,32,36
BK 18,Flatlands/Canarsie,Demographics,Single-person households,The share of households that include only one person.,NA,21.3%,21.8%,21.1%,NA,NA,48,48,47
BK 18,Flatlands/Canarsie,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",7.96%,5.52%,8.29%,6.79%,NA,33,42,44,27
BK 18,Flatlands/Canarsie,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",NA,0.6%,48.5%,32.4%,NA,NA,17,13,14
BK 18,Flatlands/Canarsie,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",NA,39.4%,1.3%,7.3%,NA,NA,13,13,11
BK 18,Flatlands/Canarsie,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",NA,38.8%,2.9%,1.7%,NA,NA,15,16,24
BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",NA,53.3,16.8,22.2,NA,NA,26,39,21
BK 18,Flatlands/Canarsie,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",NA,0.8%,1.0%,0.6%,NA,NA,49,48,49
BK 18,Flatlands/Canarsie,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",NA,2.9%,5.6%,7.7%,NA,NA,34,42,31
BK 18,Flatlands/Canarsie,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,54.7%,62.4%,57.8%,60.2%,NA,6,6,7,6
BK 18,Flatlands/Canarsie,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",NA,"69,777","71,757","70,723",NA,NA,12,11,11
BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,209.2,176.3,233.3,248.4,1,26,20,30
